=== Cafetería UDLAP | cajeros=1 cajas=2 clientes=15 ===

[GEN]    Cliente   1 llega  | cola=1
[CAJERO 1] Atiende cliente   1 | espera=0ms
[GEN]    Cliente   2 llega  | cola=1
[CAJERO 1] Atiende cliente   2 | espera=201ms
[GEN]    Cliente   3 llega  | cola=1
[GEN]    Cliente   4 llega  | cola=2
[CAJERO 1] Atiende cliente   3 | espera=400ms
[GEN]    Cliente   5 llega  | cola=2
[CAJERO 1] Atiende cliente   4 | espera=601ms
[GEN]    Cliente   6 llega  | cola=2
[GEN]    Cliente   7 llega  | cola=3
[CAJERO 1] Atiende cliente   5 | espera=800ms
[GEN]    Cliente   8 llega  | cola=3
[GEN]    Cliente   9 llega  | cola=4
[CAJERO 1] Atiende cliente   6 | espera=1001ms
[GEN]    Cliente  10 llega  | cola=4
[GEN]    Cliente  11 llega  | cola=5
[CAJERO 1] Atiende cliente   7 | espera=1204ms
[GEN]    Cliente  12 llega  | cola=5
[CAJERO 1] Atiende cliente   8 | espera=1404ms
[GEN]    Cliente  13 llega  | cola=5
[GEN]    Cliente  14 llega  | cola=6
[CAJERO 1] Atiende cliente   9 | espera=1604ms
[GEN]    Cliente  15 llega  | cola=6
[CAJERO 1] Atiende cliente  10 | espera=1804ms
[CAJERO 1] Atiende cliente  11 | espera=2004ms
[CAJERO 1] Atiende cliente  12 | espera=2203ms
[CAJERO 1] Atiende cliente  13 | espera=2404ms
[CAJERO 1] Atiende cliente  14 | espera=2603ms
[CAJERO 1] Atiende cliente  15 | espera=2805ms

=== RESUMEN ===
Clientes atendidos : 15 / 15
Tiempo espera prom.: 1402 ms
